TransactionID,CustomerID,StoreLocation,ProductCategory,ProductID,Quantity,UnitPrice,TransactionDate,PaymentMethod,DiscountApplied,CustomerSatisfaction,TotalPrice
112,1596,Suburban,Other,939,3,111.96,2023-02-18,Credit Card,No,3,335.88
113,1916,Rural,Electronics,895,7,484.51,2023-08-31,Mobile Payment,Yes,2,3391.57
114,1250,Rural,Home Goods,170,7,413.5,2023-06-22,Mobile Payment,Yes,3,2894.5
115,1623,City Centre,Grocery,288,9,498.03,2024-03-30,Cash,No,2,4482.27
116,1852,Rural,Grocery,441,9,365.56,2023-12-03,Cash,No,3,3290.04
117,1869,City Centre,Grocery,456,1,168.07,2023-06-16,Credit Card,No,2,168.07
118,1323,Rural,Home Goods,748,6,334.88,2023-02-21,Cash,Yes,2,2009.28
119,1563,City Centre,Electronics,723,8,346.32,2023-09-22,Debit Card,No,3,2770.56
120,1134,Suburban,Grocery,519,4,446.46,2024-01-05,Cash,Yes,4,1785.84
121,1706,Rural,Home Goods,807,8,189.72,2024-05-20,Cash,Yes,5,1517.76
122,1458,Suburban,Clothing,958,6,246.46,2024-04-23,Mobile Payment,No,3,1478.76
123,1899,Rural,Other,383,5,119.37,2023-04-12,Mobile Payment,No,5,596.85
124,1948,Suburban,Clothing,840,8,387.34,2023-03-02,Debit Card,No,1,3098.72
125,1771,Suburban,Electronics,562,2,338.6,2022-11-21,Cash,Yes,1,677.2
126,1591,Suburban,Clothing,707,8,124.22,2023-07-16,Cash,Yes,3,993.76
127,1842,City Centre,Home Goods,329,1,19.65,2024-10-15,Debit Card,No,1,19.65
128,1643,City Centre,Clothing,357,6,324.9,2023-03-14,Credit Card,Yes,4,1949.4
129,1089,City Centre,Electronics,700,5,173.22,2023-04-20,Debit Card,Yes,1,866.1
130,1983,Suburban,Home Goods,675,8,388.59,2023-03-25,Cash,No,3,3108.72
131,1897,Suburban,Other,293,6,229.2,2023-01-29,Cash,Yes,5,1375.2
132,1515,Rural,Other,448,3,351.72,2024-09-28,Credit Card,No,4,1055.16
133,1809,City Centre,Clothing,419,8,379.86,2023-05-16,Mobile Payment,Yes,1,3038.88
134,1274,Suburban,Other,739,9,217.25,2024-09-27,Credit Card,No,4,1955.25
135,1075,City Centre,Home Goods,515,3,307.1,2024-08-02,Mobile Payment,Yes,2,921.3
136,1103,City Centre,Clothing,403,4,482.37,2023-09-11,Credit Card,Yes,1,1929.48
137,1849,City Centre,Grocery,140,10,268.17,2023-12-06,Debit Card,Yes,4,2681.7
138,1782,Rural,Electronics,244,3,108.49,2023-02-04,Mobile Payment,Yes,1,325.47
139,1369,Rural,Home Goods,822,10,344.9,2023-02-25,Mobile Payment,No,5,3449.0
140,1352,Rural,Electronics,998,5,403.8,2024-08-01,Cash,No,5,2019.0
141,1528,Suburban,Electronics,492,1,436.63,2024-09-26,Credit Card,No,1,436.63
142,1563,Suburban,Clothing,585,5,354.82,2024-11-07,Mobile Payment,Yes,1,1774.1
143,1135,Rural,Clothing,295,4,96.47,2024-06-10,Mobile Payment,No,3,385.88
144,1819,Rural,Other,628,6,47.63,2023-10-13,Credit Card,Yes,4,285.78
145,1278,Rural,Grocery,409,1,138.04,2023-06-29,Mobile Payment,No,1,138.04
146,1236,Suburban,Clothing,465,4,434.22,2024-06-09,Credit Card,No,4,1736.88
147,1107,City Centre,Other,943,5,490.77,2024-01-11,Cash,Yes,5,2453.85
148,1517,City Centre,Home Goods,137,10,350.98,2023-01-13,Mobile Payment,Yes,4,3509.8
149,1250,City Centre,Home Goods,437,9,194.16,2023-08-22,Credit Card,No,4,1747.44
150,1503,Rural,Other,702,4,174.22,2024-05-26,Debit Card,Yes,2,696.88
151,1654,Rural,Other,625,2,271.37,2024-02-22,Debit Card,No,3,542.74
152,1321,City Centre,Other,911,9,216.39,2023-07-15,Cash,Yes,1,1947.51
153,1722,Suburban,Clothing,818,2,57.84,2024-09-19,Credit Card,Yes,3,115.68
154,1530,Rural,Clothing,246,9,357.78,2022-12-13,Cash,No,5,3220.02
155,1427,Rural,Clothing,466,5,435.02,2024-07-01,Credit Card,Yes,3,2175.1
156,1080,Suburban,Home Goods,186,1,6.96,2023-04-20,Debit Card,Yes,1,6.96
157,1717,Rural,Electronics,858,8,265.97,2023-03-14,Cash,No,1,2127.76
158,1598,City Centre,Clothing,242,4,125.77,2024-05-07,Mobile Payment,No,3,503.08
159,1076,Rural,Clothing,837,1,17.07,2023-10-11,Debit Card,Yes,5,17.07
160,1653,Rural,Home Goods,762,10,71.91,2024-05-18,Credit Card,No,5,719.1
161,1461,Rural,Grocery,532,9,186.52,2024-08-03,Mobile Payment,Yes,5,1678.68
162,1586,City Centre,Home Goods,661,5,165.59,2023-01-08,Credit Card,No,2,827.95
163,1991,Suburban,Electronics,316,6,313.09,2024-07-30,Debit Card,No,2,1878.54
164,1257,Rural,Other,509,2,495.91,2023-10-03,Debit Card,No,3,991.82
165,1078,Rural,Other,216,3,477.95,2023-04-11,Debit Card,Yes,1,1433.85
166,1043,City Centre,Home Goods,843,6,282.71,2023-10-04,Mobile Payment,No,5,1696.26
167,1582,City Centre,Other,654,7,449.32,2023-06-24,Credit Card,Yes,3,3145.24
168,1888,Suburban,Grocery,849,7,41.66,2024-06-25,Mobile Payment,Yes,4,291.62
169,1266,Suburban,Other,586,4,494.19,2023-08-14,Mobile Payment,No,2,1976.76
170,1878,City Centre,Grocery,793,7,97.41,2022-11-13,Credit Card,Yes,3,681.87
171,1121,Suburban,Home Goods,505,10,166.14,2023-05-21,Mobile Payment,Yes,4,1661.4
172,1720,City Centre,Electronics,730,6,218.84,2022-11-28,Credit Card,Yes,3,1313.04
173,1218,Rural,Electronics,487,4,120.75,2023-08-18,Credit Card,No,2,483.0
174,1214,City Centre,Grocery,371,2,133.09,2023-02-22,Debit Card,No,2,266.18
175,1713,City Centre,Other,178,10,359.91,2023-03-11,Cash,No,2,3599.1
176,1292,Suburban,Electronics,693,1,355.06,2023-05-19,Credit Card,No,5,355.06
177,1419,Suburban,Home Goods,446,2,479.74,2023-02-02,Debit Card,Yes,3,959.48
178,1194,City Centre,Grocery,532,7,466.77,2023-08-27,Cash,Yes,5,3267.39
179,1251,City Centre,Grocery,469,2,32.59,2023-10-08,Mobile Payment,Yes,4,65.18
180,1869,Suburban,Grocery,292,9,478.67,2024-03-06,Credit Card,Yes,1,4308.03
181,1751,Rural,Home Goods,877,6,70.39,2024-06-07,Debit Card,Yes,5,422.34
182,1350,Rural,Home Goods,320,5,216.88,2024-08-06,Cash,No,4,1084.4
183,1580,City Centre,Clothing,808,6,105.11,2024-03-25,Mobile Payment,Yes,2,630.66
184,1893,Rural,Clothing,422,2,426.83,2024-02-05,Credit Card,No,3,853.66
185,1793,City Centre,Other,493,9,56.49,2024-02-19,Credit Card,Yes,3,508.41
186,1507,Suburban,Clothing,296,8,158.88,2024-03-04,Mobile Payment,No,4,1271.04
187,1372,Suburban,Grocery,766,6,30.2,2024-10-13,Mobile Payment,Yes,1,181.2
188,1067,City Centre,Grocery,666,5,20.35,2024-04-28,Credit Card,Yes,5,101.75
189,1684,City Centre,Grocery,917,9,11.6,2024-09-12,Debit Card,No,1,104.4
190,1687,Suburban,Grocery,908,9,230.05,2023-12-29,Cash,No,3,2070.45
191,1822,Rural,Home Goods,262,2,283.15,2022-12-27,Cash,Yes,1,566.3
192,1475,Suburban,Grocery,963,4,260.86,2024-03-22,Debit Card,Yes,4,1043.44
193,1593,Suburban,Home Goods,645,6,300.76,2024-10-08,Credit Card,Yes,5,1804.56
194,1897,City Centre,Home Goods,538,8,345.04,2024-03-09,Credit Card,No,3,2760.32
195,1070,Suburban,Other,158,3,103.49,2023-09-26,Cash,No,5,310.47
196,1269,City Centre,Clothing,577,9,470.9,2023-03-25,Debit Card,Yes,5,4238.1
197,1186,City Centre,Home Goods,399,8,256.22,2023-11-21,Cash,Yes,2,2049.76
198,1765,Rural,Clothing,249,9,170.72,2023-01-18,Credit Card,Yes,4,1536.48
199,1097,Suburban,Electronics,413,3,482.06,2023-08-08,Cash,No,4,1446.18
200,1119,Rural,Grocery,491,4,27.19,2023-02-25,Cash,Yes,5,108.76
201,1855,Suburban,Other,186,10,242.45,2024-04-10,Credit Card,Yes,3,2424.5
202,1753,Rural,Electronics,277,9,126.08,2023-01-31,Credit Card,No,5,1134.72
203,1509,Rural,Electronics,925,3,490.46,2024-03-08,Credit Card,Yes,3,1471.38
204,1423,City Centre,Other,836,7,217.12,2024-01-19,Cash,No,3,1519.84
205,1292,Rural,Grocery,774,4,248.64,2023-11-20,Credit Card,No,5,994.56
206,1956,City Centre,Clothing,882,8,145.63,2024-05-04,Cash,No,5,1165.04
207,1787,Rural,Electronics,387,9,57.88,2024-01-10,Cash,No,2,520.92
208,1199,Suburban,Electronics,842,4,357.24,2024-11-05,Credit Card,No,3,1428.96
209,1165,City Centre,Grocery,658,1,250.54,2024-09-07,Debit Card,Yes,4,250.54
210,1960,Suburban,Grocery,377,6,111.67,2024-06-13,Mobile Payment,Yes,1,670.02
211,1154,Suburban,Electronics,832,6,425.97,2023-09-04,Credit Card,Yes,3,2555.82
212,1850,Rural,Grocery,663,2,166.76,2023-01-04,Credit Card,No,4,333.52
213,1617,Suburban,Other,675,1,21.67,2024-10-18,Cash,No,3,21.67
214,1007,Rural,Grocery,857,1,462.39,2023-05-01,Cash,No,4,462.39
215,1493,Suburban,Other,547,5,433.5,2024-02-26,Mobile Payment,No,4,2167.5
216,1082,Suburban,Other,127,7,304.66,2023-06-23,Mobile Payment,No,2,2132.62
217,1622,City Centre,Home Goods,742,6,221.03,2023-08-27,Mobile Payment,No,4,1326.18
218,1863,Rural,Grocery,646,10,448.09,2023-04-02,Credit Card,No,1,4480.9
219,1528,City Centre,Other,852,10,225.12,2023-11-30,Mobile Payment,No,1,2251.2
220,1463,Suburban,Home Goods,367,4,408.44,2023-10-09,Debit Card,Yes,1,1633.76
221,1744,Suburban,Other,880,9,159.93,2023-10-07,Mobile Payment,Yes,3,1439.37
222,1149,Rural,Clothing,396,3,390.85,2023-07-07,Debit Card,No,4,1172.55
223,1370,Suburban,Home Goods,618,8,157.03,2023-08-12,Cash,No,3,1256.24
224,2000,Rural,Electronics,645,9,255.18,2023-07-03,Credit Card,No,5,2296.62
225,1349,City Centre,Electronics,509,10,220.9,2023-05-21,Debit Card,Yes,5,2209.0
226,1088,Suburban,Grocery,597,1,72.82,2024-04-20,Mobile Payment,Yes,3,72.82
227,1214,City Centre,Grocery,215,5,192.34,2024-07-29,Mobile Payment,Yes,4,961.7
228,1533,Rural,Grocery,428,6,84.61,2022-12-19,Mobile Payment,No,2,507.66
229,1899,Rural,Grocery,189,9,156.01,2022-11-17,Mobile Payment,No,1,1404.09
230,1635,Suburban,Grocery,342,7,204.58,2024-03-09,Cash,Yes,5,1432.06
231,1842,City Centre,Clothing,505,9,165.71,2024-06-09,Mobile Payment,Yes,5,1491.39
232,1728,Suburban,Grocery,365,8,427.33,2023-07-12,Debit Card,No,4,3418.64
233,1600,City Centre,Electronics,527,8,429.87,2023-09-27,Credit Card,No,3,3438.96
234,1886,Suburban,Electronics,846,3,411.7,2024-11-06,Cash,Yes,1,1235.1
235,1369,Suburban,Other,190,6,37.05,2023-02-27,Credit Card,No,4,222.3
236,1012,Suburban,Home Goods,253,8,221.93,2023-10-07,Cash,Yes,1,1775.44
237,1304,City Centre,Home Goods,354,5,28.54,2023-12-07,Mobile Payment,No,3,142.7
238,1931,Suburban,Electronics,913,5,20.95,2022-12-08,Credit Card,No,5,104.75
239,1637,City Centre,Grocery,762,6,401.18,2024-09-04,Mobile Payment,Yes,2,2407.08
240,1820,City Centre,Grocery,591,1,281.15,2023-07-08,Credit Card,Yes,1,281.15
241,1671,Rural,Electronics,203,10,198.08,2023-06-14,Credit Card,Yes,4,1980.8
242,1364,Rural,Other,782,9,34.55,2024-05-04,Credit Card,Yes,4,310.95
243,1910,Suburban,Electronics,680,5,266.69,2023-08-11,Debit Card,Yes,3,1333.45
244,1891,Rural,Clothing,844,7,184.27,2024-04-07,Debit Card,Yes,1,1289.89
245,1033,Rural,Clothing,383,3,245.35,2024-01-29,Debit Card,No,3,736.05
246,1757,Suburban,Other,257,3,128.48,2024-01-10,Credit Card,No,3,385.44
247,1042,Suburban,Electronics,380,4,451.56,2024-01-01,Cash,No,3,1806.24
248,1006,Rural,Clothing,401,7,283.44,2023-03-02,Cash,Yes,3,1984.08
249,1487,City Centre,Home Goods,232,8,434.39,2024-07-06,Cash,Yes,5,3475.12
250,1026,City Centre,Grocery,944,10,72.26,2023-07-23,Debit Card,Yes,4,722.6
251,1182,City Centre,Electronics,156,7,337.59,2023-07-17,Cash,Yes,1,2363.13
252,1487,Suburban,Other,646,8,156.92,2023-09-05,Cash,Yes,4,1255.36
253,1301,City Centre,Home Goods,115,6,251.28,2023-01-17,Mobile Payment,No,5,1507.68
254,1584,Rural,Home Goods,524,10,318.35,2024-10-07,Debit Card,No,1,3183.5
255,1513,Suburban,Other,645,1,270.7,2023-11-04,Mobile Payment,No,5,270.7
256,1308,Rural,Home Goods,607,7,182.91,2024-03-17,Debit Card,Yes,1,1280.37
257,1022,Suburban,Home Goods,650,8,227.08,2024-08-18,Mobile Payment,No,5,1816.64
258,1468,City Centre,Grocery,255,8,261.59,2023-10-21,Cash,Yes,2,2092.72
259,1930,Rural,Home Goods,501,7,281.45,2023-09-24,Debit Card,Yes,2,1970.15
260,1950,City Centre,Clothing,547,3,56.28,2022-12-13,Debit Card,No,1,168.84
261,1896,Suburban,Home Goods,120,6,430.15,2023-06-10,Credit Card,Yes,5,2580.9
262,1950,Suburban,Other,811,1,145.75,2023-08-01,Credit Card,No,1,145.75
263,1658,Rural,Other,681,9,287.83,2023-09-11,Cash,Yes,5,2590.47
264,1064,City Centre,Grocery,995,7,17.05,2023-01-17,Cash,Yes,5,119.35
265,1107,Rural,Electronics,732,7,269.15,2024-01-05,Credit Card,Yes,1,1884.05
266,1823,City Centre,Grocery,261,4,477.85,2023-08-26,Credit Card,No,1,1911.4
267,1742,City Centre,Other,995,1,249.1,2023-12-10,Credit Card,Yes,5,249.1
268,1139,Rural,Home Goods,815,9,348.92,2023-10-24,Credit Card,No,5,3140.28
269,1184,Suburban,Electronics,797,10,269.9,2024-08-03,Cash,No,1,2699.0
270,1923,Suburban,Home Goods,129,8,224.5,2024-04-06,Debit Card,Yes,4,1796.0
271,1078,Rural,Other,153,4,79.9,2024-08-06,Cash,No,2,319.6
272,1572,City Centre,Grocery,726,4,438.79,2024-09-16,Credit Card,No,1,1755.16
273,1203,Rural,Grocery,851,6,427.35,2023-07-02,Mobile Payment,Yes,3,2564.1
274,1081,City Centre,Clothing,479,9,88.2,2023-02-24,Credit Card,No,1,793.8
275,1265,Suburban,Electronics,640,10,313.61,2024-06-18,Mobile Payment,No,5,3136.1
276,1566,City Centre,Clothing,333,10,152.34,2024-07-16,Mobile Payment,Yes,2,1523.4
277,1488,City Centre,Home Goods,273,10,143.42,2024-05-30,Mobile Payment,Yes,5,1434.2
278,1469,Suburban,Electronics,274,3,243.58,2023-06-18,Cash,No,3,730.74
279,1612,City Centre,Electronics,821,8,481.85,2023-10-10,Cash,No,2,3854.8
280,1435,City Centre,Grocery,110,4,304.71,2024-01-30,Cash,No,2,1218.84
281,1152,Suburban,Grocery,910,10,438.59,2023-10-11,Cash,Yes,5,4385.9
282,1859,Rural,Electronics,419,2,85.95,2024-01-12,Mobile Payment,Yes,3,171.9
283,1187,Rural,Other,833,7,234.69,2024-01-27,Cash,Yes,5,1642.83
284,1012,Rural,Home Goods,140,3,142.85,2024-07-14,Cash,Yes,2,428.55
285,1128,Rural,Other,554,2,257.56,2024-07-29,Debit Card,No,3,515.12
286,1372,City Centre,Electronics,235,6,51.98,2022-12-14,Debit Card,No,2,311.88
287,1566,Suburban,Home Goods,232,8,162.62,2024-01-02,Cash,Yes,5,1300.96
288,1020,Rural,Grocery,732,5,440.54,2024-07-16,Credit Card,No,3,2202.7
289,1709,City Centre,Clothing,920,5,188.5,2024-01-29,Cash,Yes,4,942.5
290,1273,Suburban,Clothing,953,3,266.68,2024-01-14,Mobile Payment,No,4,800.04
291,1322,Rural,Other,308,1,361.06,2024-02-26,Cash,No,1,361.06
292,1998,City Centre,Home Goods,428,1,327.95,2024-05-30,Mobile Payment,No,5,327.95
293,1715,City Centre,Grocery,581,5,138.47,2023-05-09,Cash,No,5,692.35
294,1693,Suburban,Clothing,582,8,142.89,2023-07-16,Debit Card,No,5,1143.12
295,1653,City Centre,Clothing,302,6,145.22,2023-04-15,Debit Card,No,4,871.32
296,1926,City Centre,Other,776,2,72.44,2023-06-26,Debit Card,Yes,2,144.88
297,1109,Rural,Other,659,5,313.94,2023-01-17,Mobile Payment,No,3,1569.7
298,1519,Rural,Home Goods,829,2,445.64,2023-04-26,Mobile Payment,Yes,4,891.28
299,1251,Suburban,Other,959,7,202.09,2023-12-26,Credit Card,Yes,5,1414.63
300,1685,City Centre,Other,628,9,213.09,2023-12-21,Cash,Yes,5,1917.81
301,1127,City Centre,Clothing,897,4,462.32,2024-09-01,Cash,No,1,1849.28
302,1010,City Centre,Other,345,8,195.5,2024-08-13,Cash,Yes,4,1564.0
303,1547,City Centre,Home Goods,368,4,311.32,2024-08-24,Credit Card,Yes,5,1245.28
304,1885,Rural,Grocery,615,2,274.29,2022-12-11,Cash,Yes,4,548.58
305,1088,City Centre,Home Goods,314,5,99.42,2024-06-24,Debit Card,Yes,2,497.1
306,1987,City Centre,Grocery,434,10,496.5,2024-06-27,Credit Card,No,1,4965.0
307,1964,Suburban,Electronics,205,1,347.06,2023-02-18,Cash,No,1,347.06
